epoch tr_loss val_loss
# gamma = 0.1, lambda = 0.1
1.000000000000000000e+00 2.378820275927243433e+00 2.423142725497183125e+00
2.000000000000000000e+00 2.346849693924589975e+00 2.405391690785908754e+00
3.000000000000000000e+00 2.023182849013244411e+00 2.039598749882534534e+00
4.000000000000000000e+00 1.995513587476986928e+00 2.005213354019373728e+00
5.000000000000000000e+00 1.974241802023320780e+00 1.989653946011214147e+00
6.000000000000000000e+00 1.852692645912704883e+00 1.860405313049881659e+00
7.000000000000000000e+00 1.799629630887261467e+00 1.816094080648077647e+00
8.000000000000000000e+00 1.813704605931209857e+00 1.824375209619168547e+00
9.000000000000000000e+00 1.802603629025348431e+00 1.819242408093806329e+00
1.000000000000000000e+01 1.665979373976835376e+00 1.668602337828288151e+00
1.100000000000000000e+01 1.662130270778789054e+00 1.667321284618816346e+00
1.200000000000000000e+01 1.645622366650604018e+00 1.653471324163038325e+00
1.300000000000000000e+01 1.474274190721669875e+00 1.476400605166809488e+00
1.400000000000000000e+01 1.424395623333190919e+00 1.432350660387768260e+00
1.500000000000000000e+01 1.419976579300879393e+00 1.407731272218164298e+00
1.600000000000000000e+01 1.410107424783862973e+00 1.397925588853403900e+00
1.700000000000000000e+01 1.396959809074754810e+00 1.387667111780258367e+00
1.800000000000000000e+01 1.386282899360840037e+00 1.377047390267937654e+00
1.900000000000000000e+01 1.384479975740280588e+00 1.375509368669320720e+00
2.000000000000000000e+01 1.394920699321865465e+00 1.382360921608823068e+00
2.100000000000000000e+01 1.273410914457227427e+00 1.267207784975642015e+00
2.200000000000000000e+01 1.264452854303727225e+00 1.258309987839781874e+00
2.300000000000000000e+01 1.255497323024718392e+00 1.249410354436283788e+00
2.400000000000000000e+01 1.278180908310899255e+00 1.271667231788145669e+00
2.500000000000000000e+01 1.298863638817984167e+00 1.289581702744822866e+00
2.600000000000000000e+01 1.269319573628316045e+00 1.262836754836752062e+00
2.700000000000000000e+01 1.265102151202011083e+00 1.256263564860004900e+00
2.800000000000000000e+01 1.258266292039508905e+00 1.249475273458863889e+00
2.900000000000000000e+01 1.246806850186780391e+00 1.240889211898706934e+00
3.000000000000000000e+01 1.239559618018650777e+00 1.233666138085992126e+00
3.100000000000000000e+01 1.229282472050601482e+00 1.222294681132350735e+00
3.200000000000000000e+01 1.212157112249771407e+00 1.201725962786324819e+00
3.300000000000000000e+01 1.199187109524149752e+00 1.188900825453013343e+00
3.400000000000000000e+01 1.201574892965298735e+00 1.191396777288274755e+00
3.500000000000000000e+01 1.090917106450210117e+00 1.083603899749653987e+00
3.600000000000000000e+01 1.091032268616937806e+00 1.083787724407542896e+00
3.700000000000000000e+01 1.082689062773457112e+00 1.075416873563307618e+00
3.800000000000000000e+01 1.002299856323468630e+00 9.952033982662590317e-01
3.900000000000000000e+01 9.924164900582038706e-01 9.854187737083580645e-01
4.000000000000000000e+01 9.676316064254695259e-01 9.609464557187590295e-01
4.100000000000000000e+01 9.924802286277335517e-01 9.855189543664983898e-01
4.200000000000000000e+01 9.872655126235492240e-01 9.803762890160813148e-01
4.300000000000000000e+01 1.009815235252230936e+00 1.002418090061100608e+00
4.400000000000000000e+01 1.006414224279245317e+00 9.990784816842692706e-01
4.500000000000000000e+01 1.016446572699037265e+00 1.008219900063854535e+00
4.600000000000000000e+01 1.011408591098651888e+00 1.003262420447561087e+00
4.700000000000000000e+01 1.005514382047688615e+00 9.974506752036618185e-01
4.800000000000000000e+01 1.018445683173010874e+00 1.010323509907324890e+00
4.900000000000000000e+01 1.017429716090162861e+00 1.009531334793797752e+00
5.000000000000000000e+01 1.015880667276943816e+00 1.008052095074359666e+00
5.100000000000000000e+01 9.429805681382611438e-01 9.348558860841421625e-01
5.200000000000000000e+01 9.527717672612475708e-01 9.446835769181335385e-01
5.300000000000000000e+01 9.560896080760139526e-01 9.481118441028376642e-01
5.400000000000000000e+01 9.286093262099873735e-01 9.208497966182219718e-01
5.500000000000000000e+01 9.329812555677072794e-01 9.251994642600174235e-01
5.600000000000000000e+01 8.958614453882710604e-01 8.881488435044407881e-01
5.700000000000000000e+01 8.925377664225669916e-01 8.848752680593207076e-01
5.800000000000000000e+01 8.850576238388399020e-01 8.779598688636512938e-01
5.900000000000000000e+01 8.863295617341063748e-01 8.791664516063358858e-01
6.000000000000000000e+01 8.901537509015629013e-01 8.828553588954062281e-01
6.100000000000000000e+01 9.038742698019730515e-01 8.963927172186668679e-01
6.200000000000000000e+01 8.994089597715818618e-01 8.920099928589787508e-01
6.300000000000000000e+01 8.988198023452043106e-01 8.914240181007275776e-01
6.400000000000000000e+01 9.075492275783684226e-01 8.999361519318445080e-01
6.500000000000000000e+01 8.497028638274102263e-01 8.433387298647874175e-01
6.600000000000000000e+01 8.467579136137267648e-01 8.404475195089472495e-01
6.700000000000000000e+01 8.448156425931661051e-01 8.385478977346902951e-01
6.800000000000000000e+01 8.576834244760875858e-01 8.513424517439962536e-01
6.900000000000000000e+01 8.509745690689468622e-01 8.446495428751513712e-01
7.000000000000000000e+01 8.479399393582799371e-01 8.416515032837013077e-01
7.100000000000000000e+01 8.417248397531380544e-01 8.355881759178437340e-01
7.200000000000000000e+01 8.386048389211394616e-01 8.324839400165812142e-01
7.300000000000000000e+01 8.368018565136100539e-01 8.307153510540750130e-01
7.400000000000000000e+01 8.431276278032413529e-01 8.368534129993530080e-01
7.500000000000000000e+01 8.049601084200995738e-01 7.987507191867928569e-01
7.600000000000000000e+01 8.156831439105606263e-01 8.095617567135018344e-01
7.700000000000000000e+01 8.092284972022639744e-01 8.033698016209087633e-01
7.800000000000000000e+01 8.057318830642064000e-01 7.999300992348716832e-01
7.900000000000000000e+01 7.389644355456267411e-01 7.342680741306938375e-01
8.000000000000000000e+01 7.399224276877399697e-01 7.352038265369801318e-01
8.100000000000000000e+01 7.471732509548064671e-01 7.426842210331462413e-01
8.200000000000000000e+01 7.464056985958712476e-01 7.419325438239593451e-01
8.300000000000000000e+01 7.380709455690103171e-01 7.335103740734140176e-01
8.400000000000000000e+01 7.427721132370465051e-01 7.381314165570079799e-01
8.500000000000000000e+01 6.813811554505281309e-01 6.779440036720236762e-01
8.600000000000000000e+01 6.828586472811577490e-01 6.793305870939841951e-01
8.700000000000000000e+01 7.015766658216323615e-01 6.979640700498307426e-01
8.800000000000000000e+01 6.925075546747080368e-01 6.889293036541919157e-01
8.900000000000000000e+01 7.000610968904215081e-01 6.965270180966837144e-01
9.000000000000000000e+01 7.003449839603761440e-01 6.968827033299094253e-01
9.100000000000000000e+01 6.793206618475949865e-01 6.760072856842600508e-01
9.200000000000000000e+01 6.583406990387989932e-01 6.553175508769872870e-01
9.300000000000000000e+01 6.471186400609533207e-01 6.443871362299576910e-01
9.400000000000000000e+01 6.452731842822702069e-01 6.425879159959106968e-01
9.500000000000000000e+01 6.467779104844582072e-01 6.440754152556754653e-01
9.600000000000000000e+01 6.616656033159352690e-01 6.586770534004646738e-01
9.700000000000000000e+01 6.685818304551163216e-01 6.655522292314692834e-01
9.800000000000000000e+01 6.844404362482700011e-01 6.810174260302690463e-01
9.900000000000000000e+01 7.078573888244469314e-01 7.039863304104133634e-01
1.000000000000000000e+02 7.366044607552746371e-01 7.325028117230952818e-01
1.010000000000000000e+02 7.271889132531728084e-01 7.233155324787892138e-01
1.020000000000000000e+02 7.258122555782088314e-01 7.219545591636969961e-01
1.030000000000000000e+02 7.130464131932057192e-01 7.094815717419654666e-01
1.040000000000000000e+02 7.306939465922662746e-01 7.269693872995545147e-01
1.050000000000000000e+02 7.422628554776757870e-01 7.384739312108747900e-01
1.060000000000000000e+02 7.390376917282440727e-01 7.355087086324028078e-01
1.070000000000000000e+02 7.452243217580128976e-01 7.410162254537348003e-01
1.080000000000000000e+02 7.518750635768839397e-01 7.475836324241426079e-01
1.090000000000000000e+02 6.660196353412151105e-01 6.634591356396500883e-01
1.100000000000000000e+02 6.735375430635109906e-01 6.706935529399244977e-01
1.110000000000000000e+02 6.633433722090379403e-01 6.608970756310981187e-01
1.120000000000000000e+02 6.404589253895277556e-01 6.379211895765488638e-01
1.130000000000000000e+02 6.402660176551802085e-01 6.375774068677952933e-01
1.140000000000000000e+02 6.257225014230576310e-01 6.234856046252117423e-01
1.150000000000000000e+02 6.252339285258752266e-01 6.230206706324818988e-01
1.160000000000000000e+02 6.216296744168612332e-01 6.194112182240935072e-01
1.170000000000000000e+02 6.204077286879412512e-01 6.181496468634478658e-01
1.180000000000000000e+02 6.242775249070301458e-01 6.215736417842183670e-01
1.190000000000000000e+02 6.127531956743684782e-01 6.100510064794282261e-01
1.200000000000000000e+02 6.100352569504100542e-01 6.074933920756091510e-01
1.210000000000000000e+02 6.037700589183724320e-01 6.011885523190758640e-01
1.220000000000000000e+02 6.068118531649062675e-01 6.039272051611948022e-01
1.230000000000000000e+02 6.130866854304202196e-01 6.103600582039114819e-01
1.240000000000000000e+02 6.265876206514378044e-01 6.237573475691466918e-01
1.250000000000000000e+02 7.117492840466788095e-01 7.079884678082135618e-01
1.260000000000000000e+02 7.044695156727561747e-01 7.004692686299412996e-01
1.270000000000000000e+02 7.335379336866653111e-01 7.293333657541067883e-01
1.280000000000000000e+02 7.137476126849957581e-01 7.098982060689412732e-01
1.290000000000000000e+02 7.313492363871993973e-01 7.275018669705369811e-01
1.300000000000000000e+02 7.053088571494613435e-01 7.023942098201964024e-01
