epoch tr_loss val_loss
# gamma = 0.01, lambda = 0.1
1.000000000000000000e+00 4.335295544121735567e+00 4.399065539736252362e+00
2.000000000000000000e+00 4.327245970112959306e+00 4.385358792778714765e+00
3.000000000000000000e+00 4.281193230943861394e+00 4.361925870141530659e+00
4.000000000000000000e+00 4.284544090149140061e+00 4.359519882266543966e+00
5.000000000000000000e+00 4.273669474374593769e+00 4.357155307297549740e+00
6.000000000000000000e+00 4.244532775374608491e+00 4.341978493962373342e+00
7.000000000000000000e+00 4.217321017036905317e+00 4.303441369705296893e+00
8.000000000000000000e+00 4.209506198038459601e+00 4.301300199998257412e+00
9.000000000000000000e+00 4.198761658397490493e+00 4.299065557512695257e+00
1.000000000000000000e+01 4.171429389080458350e+00 4.274640711745513855e+00
1.100000000000000000e+01 4.158559861559973925e+00 4.250434136778260985e+00
1.200000000000000000e+01 4.153473975338254576e+00 4.248171065221660214e+00
1.300000000000000000e+01 4.075121497378254354e+00 4.150008088251400551e+00
1.400000000000000000e+01 4.050806228866935754e+00 4.128579900073002129e+00
1.500000000000000000e+01 4.049019812155617792e+00 4.126787993453056025e+00
1.600000000000000000e+01 4.041042941476039374e+00 4.113167290450880920e+00
1.700000000000000000e+01 4.030228301416535430e+00 4.088199515060725098e+00
1.800000000000000000e+01 4.019420159563964035e+00 4.051909283703464482e+00
1.900000000000000000e+01 4.014428039905402201e+00 4.049769134120343672e+00
2.000000000000000000e+01 3.992921182631917087e+00 4.059250048465448124e+00
2.100000000000000000e+01 3.930180781657738542e+00 3.996678386696113527e+00
2.200000000000000000e+01 3.925078790215696944e+00 3.994425788913565256e+00
2.300000000000000000e+01 3.922789859827082282e+00 3.992159531986013477e+00
2.400000000000000000e+01 3.927254477953534106e+00 3.993737842244660552e+00
2.500000000000000000e+01 3.925421701134083285e+00 3.991908074876918011e+00
2.600000000000000000e+01 3.913616532207844667e+00 3.977282218121654722e+00
2.700000000000000000e+01 3.917413230067700258e+00 3.986791606572371638e+00
2.800000000000000000e+01 3.906649945108362942e+00 3.973203941968288078e+00
2.900000000000000000e+01 3.901571638614063531e+00 3.970971106007519236e+00
3.000000000000000000e+01 3.893636643410848475e+00 3.957359105131547317e+00
3.100000000000000000e+01 3.840624714017305763e+00 3.935441356802606094e+00
3.200000000000000000e+01 3.832751242601178276e+00 3.921856712416481372e+00
3.300000000000000000e+01 3.821240699392959961e+00 3.904762043906962798e+00
3.400000000000000000e+01 3.816151657486584359e+00 3.891197329828598672e+00
3.500000000000000000e+01 3.751646300582466509e+00 3.781421679609546338e+00
3.600000000000000000e+01 3.743786464571734474e+00 3.779245698888996863e+00
3.700000000000000000e+01 3.726203204842760019e+00 3.775823607079268562e+00
3.800000000000000000e+01 3.680043528036605505e+00 3.758123259137537087e+00
3.900000000000000000e+01 3.673662347711602827e+00 3.731900859617226285e+00
4.000000000000000000e+01 3.642531039132296922e+00 3.689551847639823468e+00
4.100000000000000000e+01 3.637531838322649147e+00 3.687394192759373635e+00
4.200000000000000000e+01 3.632504668165840833e+00 3.673883219747584139e+00
4.300000000000000000e+01 3.630467015574064149e+00 3.671865748930875029e+00
4.400000000000000000e+01 3.625494142003692577e+00 3.669731035789287610e+00
4.500000000000000000e+01 3.603639118976660338e+00 3.642045525238834625e+00
4.600000000000000000e+01 3.592941317007288582e+00 3.639846866182049556e+00
4.700000000000000000e+01 3.582260327682383672e+00 3.637680685838667216e+00
4.800000000000000000e+01 3.574436250610131705e+00 3.635534856896221356e+00
4.900000000000000000e+01 3.572710226546709666e+00 3.633839795630340319e+00
5.000000000000000000e+01 3.562023616553836369e+00 3.620322701857263681e+00
5.100000000000000000e+01 3.485240961035144469e+00 3.526506444592568457e+00
5.200000000000000000e+01 3.474606930648453940e+00 3.513044515221233066e+00
5.300000000000000000e+01 3.449410668273678926e+00 3.456715642056699789e+00
5.400000000000000000e+01 3.411812272465302609e+00 3.433271997698323919e+00
5.500000000000000000e+01 3.406967278804270194e+00 3.431275195851581472e+00
5.600000000000000000e+01 3.359833815636325216e+00 3.412451491256682345e+00
5.700000000000000000e+01 3.352063009784600922e+00 3.399037336928246500e+00
5.800000000000000000e+01 3.326929616220255959e+00 3.371029658182579603e+00
5.900000000000000000e+01 3.322494940043290601e+00 3.369427159727461429e+00
6.000000000000000000e+01 3.317566128705238260e+00 3.356017117179253439e+00
6.100000000000000000e+01 3.312671030447976950e+00 3.342644777218774177e+00
6.200000000000000000e+01 3.307737993800224263e+00 3.340568702766621989e+00
6.300000000000000000e+01 3.297159362763234736e+00 3.327163384208135621e+00
6.400000000000000000e+01 3.295494533190287179e+00 3.325507968810288428e+00
6.500000000000000000e+01 3.264252346181224507e+00 3.288740235814542778e+00
6.600000000000000000e+01 3.232738396695681082e+00 3.262786438324484894e+00
6.700000000000000000e+01 3.222158223899776353e+00 3.249388273686655726e+00
6.800000000000000000e+01 3.220123620195940450e+00 3.247366438783902076e+00
6.900000000000000000e+01 3.200803897119325114e+00 3.219558228660880594e+00
7.000000000000000000e+01 3.191368409644607329e+00 3.204414316700124665e+00
7.100000000000000000e+01 3.189362495884303428e+00 3.202426665988578947e+00
7.200000000000000000e+01 3.123937535589165648e+00 3.094511488415410128e+00
7.300000000000000000e+01 3.109025795648992396e+00 3.068177624652281388e+00
7.400000000000000000e+01 3.104382956379965197e+00 3.066378259792390093e+00
7.500000000000000000e+01 3.101195744000215360e+00 3.063216798233976412e+00
7.600000000000000000e+01 3.099469215374765163e+00 3.061507548732834927e+00
7.700000000000000000e+01 3.094665789687633506e+00 3.059558002721756598e+00
7.800000000000000000e+01 3.092643487315497985e+00 3.057551822463022262e+00
7.900000000000000000e+01 3.077791892355945524e+00 3.039995253002593323e+00
